,0
879,146.33333333333337
502,146.66666666666663
360,146.66666666666669
171,146.66666666666669
189,146.9999999999999
178,146.99999999999997
653,147.00000000000003
974,147.00000000000003
12,147.00000000000006
587,147.00000000000006
369,147.33333333333331
241,147.33333333333331
967,147.33333333333337
641,147.66666666666663
589,147.99999999999991
831,147.99999999999994
160,148.0
194,148.0
861,148.0
24,148.00000000000006
367,148.33333333333326
759,148.33333333333334
738,148.33333333333337
855,148.66666666666663
857,148.66666666666666
805,148.99999999999994
745,148.99999999999994
337,149.00000000000003
524,149.33333333333331
164,149.66666666666666
450,149.66666666666674
299,149.99999999999991
20,149.99999999999997
442,150.0
413,150.0
747,150.3333333333333
396,150.3333333333333
78,150.33333333333331
790,150.33333333333334
591,150.3333333333334
495,150.66666666666663
95,150.66666666666663
687,150.99999999999994
603,151.00000000000003
77,151.00000000000006
127,151.33333333333334
584,151.33333333333343
196,151.66666666666663
646,151.66666666666666
42,151.9999999999999
664,152.00000000000009
537,152.33333333333326
692,152.66666666666663
201,152.66666666666666
18,152.66666666666666
859,152.66666666666669
892,152.99999999999991
304,152.99999999999994
430,153.0
381,153.3333333333333
577,153.66666666666663
289,153.66666666666669
541,153.99999999999997
533,154.0
947,154.00000000000003
122,154.00000000000003
359,154.33333333333334
5,154.66666666666663
0,154.66666666666666
447,154.99999999999994
521,155.33333333333331
904,155.33333333333331
937,155.6666666666666
570,155.9999999999999
270,156.6666666666666
627,156.6666666666667
14,156.99999999999991
349,156.99999999999994
105,156.99999999999994
123,157.66666666666654
663,157.99999999999997
217,157.99999999999997
835,158.3333333333333
885,158.66666666666654
806,159.00000000000009
585,159.33333333333337
964,159.99999999999994
19,159.99999999999997
266,161.33333333333323
938,161.3333333333333
737,161.33333333333337
351,161.66666666666666
65,161.99999999999994
416,163.66666666666663
696,165.0
216,166.0
345,166.6666666666668
265,166.99999999999997
8,168.6666666666666
118,170.33333333333317
681,171.33333333333331
155,173.99999999999997
544,174.66666666666657
823,175.0
